actual,probability,cum_fraud,gain
1,0.99997973,1,8.333333333333332
1,0.99984944,2,16.666666666666664
1,0.99980754,3,25.0
1,0.9997465,4,33.33333333333333
1,0.99923956,5,41.66666666666667
1,0.9981725,6,50.0
1,0.9905607,7,58.333333333333336
1,0.74964654,8,66.66666666666666
1,0.2742549,9,75.0
1,0.19862546,10,83.33333333333334
0,0.15538922,10,83.33333333333334
0,0.13885534,10,83.33333333333334
0,0.044080645,10,83.33333333333334
1,0.043730825,11,91.66666666666666
0,0.026378965,11,91.66666666666666
0,0.023840638,11,91.66666666666666
0,0.020460157,11,91.66666666666666
0,0.01887067,11,91.66666666666666
0,0.014107855,11,91.66666666666666
0,0.013494403,11,91.66666666666666
0,0.013016465,11,91.66666666666666
0,0.0125933895,11,91.66666666666666
0,0.012320285,11,91.66666666666666
0,0.010886095,11,91.66666666666666
0,0.010266678,11,91.66666666666666
0,0.01000236,11,91.66666666666666
0,0.009961805,11,91.66666666666666
0,0.009431236,11,91.66666666666666
0,0.009280916,11,91.66666666666666
0,0.008933593,11,91.66666666666666
0,0.0075900564,11,91.66666666666666
1,0.007511751,12,100.0
0,0.0067089833,12,100.0
0,0.006597499,12,100.0
0,0.00629167,12,100.0
0,0.005785447,12,100.0
0,0.005622555,12,100.0
0,0.0055708997,12,100.0
0,0.0051185153,12,100.0
0,0.004940432,12,100.0
0,0.0047093825,12,100.0
0,0.0044698673,12,100.0
0,0.0040868353,12,100.0
0,0.003904888,12,100.0
0,0.0038087508,12,100.0
0,0.003777559,12,100.0
0,0.003608762,12,100.0
0,0.0035985317,12,100.0
0,0.0035842324,12,100.0
0,0.0034541292,12,100.0
0,0.0029999914,12,100.0
0,0.0027655277,12,100.0
0,0.0027074546,12,100.0
0,0.0022252812,12,100.0
0,0.002098146,12,100.0
0,0.0018406213,12,100.0
0,0.0018229819,12,100.0
0,0.0017942769,12,100.0
0,0.0017856845,12,100.0
0,0.0017371161,12,100.0
0,0.0016882279,12,100.0
0,0.0016232661,12,100.0
0,0.0015194555,12,100.0
0,0.0014879062,12,100.0
