threshold,precision,recall,f1
0.05,1.0,0.75,0.8571428571428571
0.1,1.0,0.75,0.8571428571428571
0.15000000000000002,1.0,0.75,0.8571428571428571
0.2,1.0,0.75,0.8571428571428571
0.25,1.0,0.75,0.8571428571428571
0.3,1.0,0.75,0.8571428571428571
0.35000000000000003,1.0,0.75,0.8571428571428571
0.4,1.0,0.75,0.8571428571428571
0.45,1.0,0.75,0.8571428571428571
0.5,1.0,0.75,0.8571428571428571
0.55,1.0,0.75,0.8571428571428571
0.6000000000000001,1.0,0.75,0.8571428571428571
0.6500000000000001,1.0,0.75,0.8571428571428571
0.7000000000000001,1.0,0.75,0.8571428571428571
0.7500000000000001,1.0,0.75,0.8571428571428571
0.8,1.0,0.75,0.8571428571428571
0.8500000000000001,1.0,0.75,0.8571428571428571
0.9000000000000001,1.0,0.75,0.8571428571428571
0.9500000000000001,1.0,0.75,0.8571428571428571
