Model,Accuracy,Precision,Recall,F1,ROC_AUC
CatBoost,0.87,0.82,0.78,0.8,0.92
XGBoost,0.86,0.81,0.76,0.78,0.91
LightGBM,0.85,0.8,0.75,0.77,0.9
