population,gain
0.07336757153338225,0.0
0.1467351430667645,0.0
0.22010271460014674,0.0
0.293470286133529,0.0
0.36683785766691124,0.0
0.4402054292002935,0.0
0.5135730007336757,0.0
0.586940572267058,0.0
0.6603081438004402,0.0
0.7336757153338225,0.0
0.8070432868672046,0.0
0.880410858400587,0.0
0.9537784299339692,0.0
1.0271460014673515,0.0
1.1005135730007336,0.0
1.173881144534116,0.0
1.247248716067498,0.0
1.3206162876008805,0.0
1.3939838591342628,0.0
1.467351430667645,0.0
1.540719002201027,0.0
1.6140865737344092,0.0
1.6874541452677916,0.0
1.760821716801174,0.0
1.834189288334556,0.0
1.9075568598679384,0.0
1.9809244314013204,0.0
2.054292002934703,0.0
2.127659574468085,0.0
2.201027146001467,0.0
2.27439471753485,0.0
2.347762289068232,0.0
2.421129860601614,0.0
2.494497432134996,0.0
2.5678650036683783,0.0
2.641232575201761,0.0
2.714600146735143,0.0
2.7879677182685256,0.0
2.8613352898019073,0.0
2.93470286133529,0.0
3.008070432868672,0.0
3.081438004402054,0.0
3.1548055759354363,0.0
3.2281731474688184,0.0
3.301540719002201,0.0
3.374908290535583,0.0
3.4482758620689653,0.0
3.521643433602348,0.0
3.59501100513573,0.0
3.668378576669112,0.0
3.7417461482024947,0.0
3.815113719735877,0.0
3.8884812912692595,0.0
3.9618488628026407,0.0
4.035216434336023,0.0
4.108584005869406,0.0
4.181951577402788,0.0
4.25531914893617,0.0
4.328686720469553,0.0
4.402054292002934,0.0
4.475421863536317,0.0
4.5487894350697,0.0
4.622157006603081,0.0
4.695524578136464,0.0
4.768892149669846,0.0
4.842259721203228,0.0
4.91562729273661,0.0
4.988994864269992,0.0
5.062362435803375,0.0
5.135730007336757,0.0
5.209097578870139,0.0
5.282465150403522,0.0
5.355832721936904,0.0
5.429200293470286,0.0
5.502567865003669,0.0
5.575935436537051,0.0
5.649303008070433,0.0
5.722670579603815,0.0
5.796038151137197,0.0
5.86940572267058,0.0
5.9427732942039615,0.0
6.016140865737344,0.0
6.089508437270727,0.0
6.162876008804108,0.0
6.236243580337491,0.0
6.309611151870873,0.0
6.382978723404255,0.0
6.456346294937637,0.0
6.5297138664710195,0.0
6.603081438004402,0.0
6.676449009537784,0.0
6.749816581071166,0.0
6.823184152604549,0.0
6.896551724137931,0.0
6.969919295671313,0.0
7.043286867204696,0.0
7.1166544387380775,0.0
7.19002201027146,0.0
7.263389581804843,0.0
7.336757153338224,0.0
7.410124724871607,0.0
7.4834922964049895,0.0
7.556859867938372,0.0
7.630227439471754,0.0
7.703595011005136,0.0
7.776962582538519,0.0
7.850330154071901,0.0
7.923697725605281,0.0
7.997065297138664,0.0
8.070432868672047,0.0
8.143800440205428,0.0
8.217168011738812,0.0
8.290535583272193,0.0
8.363903154805575,0.0
8.437270726338959,0.0
8.51063829787234,0.0
8.584005869405722,0.0
8.657373440939105,0.0
8.730741012472487,0.0
8.804108584005869,0.0
8.877476155539252,0.0
8.950843727072634,0.0
9.024211298606016,0.0
9.0975788701394,0.0
9.17094644167278,0.0
9.244314013206163,0.0
9.317681584739546,0.0
9.391049156272928,0.0
9.46441672780631,0.0
9.537784299339693,0.0
9.611151870873075,0.0
9.684519442406456,0.0
9.757887013939838,0.0
9.83125458547322,0.0
9.904622157006603,0.0
9.977989728539985,0.0
10.051357300073366,0.0
10.12472487160675,0.0
10.198092443140132,0.0
10.271460014673513,0.0
10.344827586206897,0.0
10.418195157740278,0.0
10.49156272927366,0.0
10.564930300807044,0.0
10.638297872340425,0.0
10.711665443873809,0.0
10.78503301540719,0.0
10.858400586940572,0.0
10.931768158473956,0.0
11.005135730007337,0.0
11.078503301540719,0.0
11.151870873074103,0.0
11.225238444607484,0.0
11.298606016140866,0.0
11.37197358767425,0.0
11.44534115920763,0.0
11.518708730741011,0.0
11.592076302274394,0.0
11.665443873807776,0.0
11.73881144534116,0.0
11.812179016874541,0.0
11.885546588407923,0.0
11.958914159941306,0.0
12.032281731474688,0.0
12.10564930300807,0.0
12.179016874541453,0.0
12.252384446074835,0.0
12.325752017608217,0.0
12.3991195891416,0.0
12.472487160674982,0.0
12.545854732208364,0.0
12.619222303741745,0.0
12.692589875275129,0.0
12.76595744680851,0.0
12.839325018341894,0.0
12.912692589875274,0.0
12.986060161408657,0.0
13.059427732942039,0.0
13.132795304475422,0.0
13.206162876008804,0.0
13.279530447542188,0.0
13.352898019075568,0.0
13.426265590608951,0.0
13.499633162142333,0.0
13.573000733675716,0.0
13.646368305209098,0.0
13.719735876742481,0.0
13.793103448275861,0.0
13.866471019809246,0.0
13.939838591342626,0.0
14.01320616287601,0.0
14.086573734409392,0.0
14.159941305942771,0.0
14.233308877476155,0.0
14.306676449009537,0.0
14.38004402054292,0.0
14.453411592076302,0.0
14.526779163609685,0.0
14.600146735143065,0.0
14.673514306676449,0.0
14.74688187820983,0.0
14.820249449743214,0.0
