Precision,Recall,Threshold
0.00880410858400587,1.0,6.6413113e-06
0.00881057268722467,1.0,7.3496512e-06
0.00881704628949302,1.0,7.694766e-06
0.008823529411764706,1.0,8.079724e-06
0.008830022075055188,1.0,8.781851e-06
0.008836524300441826,1.0,8.970124e-06
0.008843036109064112,1.0,9.143328e-06
0.008849557522123894,1.0,9.245637e-06
0.008856088560885609,1.0,9.298213e-06
0.008862629246676515,1.0,9.300199e-06
0.008869179600886918,1.0,9.322648e-06
0.008875739644970414,1.0,9.675138e-06
0.008882309400444115,1.0,9.716294e-06
0.008888888888888889,1.0,9.936828e-06
0.008895478131949592,1.0,1.0029127e-05
0.008902077151335312,1.0,1.0098979e-05
0.008908685968819599,1.0,1.016606e-05
0.008915304606240713,1.0,1.0328918e-05
0.008921933085501859,1.0,1.0759736e-05
0.008928571428571428,1.0,1.0794209e-05
0.008935219657483246,1.0,1.0817591e-05
0.00894187779433681,1.0,1.0823224e-05
0.008948545861297539,1.0,1.0876025e-05
0.008955223880597015,1.0,1.1278662e-05
0.008961911874533234,1.0,1.1308646e-05
0.008968609865470852,1.0,1.1319091e-05
0.008975317875841436,1.0,1.1463048e-05
0.008982035928143712,1.0,1.1478583e-05
0.008988764044943821,1.0,1.1827992e-05
0.008995502248875561,1.0,1.1853726e-05
0.00900225056264066,1.0,1.20064415e-05
0.009009009009009009,1.0,1.207838e-05
0.009015777610818933,1.0,1.2118578e-05
0.009022556390977444,1.0,1.2246491e-05
0.009029345372460496,1.0,1.2303453e-05
0.009036144578313253,1.0,1.23483205e-05
0.00904295403165034,1.0,1.2383086e-05
0.00904977375565611,1.0,1.2476304e-05
0.009056603773584906,1.0,1.2511918e-05
0.00906344410876133,1.0,1.2650206e-05
0.009070294784580499,1.0,1.281003e-05
0.009077155824508321,1.0,1.2917113e-05
0.009084027252081756,1.0,1.3249016e-05
0.00909090909090909,1.0,1.3407246e-05
0.009097801364670205,1.0,1.3446661e-05
0.009104704097116844,1.0,1.3523203e-05
0.009111617312072893,1.0,1.39108315e-05
0.00911854103343465,1.0,1.3974762e-05
0.009125475285171103,1.0,1.4016631e-05
0.0091324200913242,1.0,1.4023638e-05
0.00913937547600914,1.0,1.4051925e-05
0.009146341463414634,1.0,1.4099967e-05
0.009153318077803204,1.0,1.4109383e-05
0.00916030534351145,1.0,1.4224547e-05
0.009167303284950344,1.0,1.4401088e-05
0.009174311926605505,1.0,1.4424385e-05
0.009181331293037491,1.0,1.4450022e-05
0.009188361408882083,1.0,1.4858858e-05
0.009195402298850575,1.0,1.5134546e-05
0.009202453987730062,1.0,1.5276728e-05
0.00920951650038373,1.0,1.5599198e-05
0.009216589861751152,1.0,1.5623718e-05
0.009223674096848577,1.0,1.5751482e-05
0.009230769230769232,1.0,1.5927564e-05
0.009237875288683603,1.0,1.6049897e-05
0.009244992295839754,1.0,1.607879e-05
0.009252120277563608,1.0,1.6142982e-05
0.009259259259259259,1.0,1.621912e-05
0.009266409266409266,1.0,1.6248674e-05
0.00927357032457496,1.0,1.6251464e-05
0.009280742459396751,1.0,1.6270087e-05
0.009287925696594427,1.0,1.6323333e-05
0.009295120061967466,1.0,1.6530399e-05
0.009302325581395349,1.0,1.6533788e-05
0.009309542280837859,1.0,1.6542699e-05
0.009316770186335404,1.0,1.6546297e-05
