precision,recall,threshold
0.00880410858400587,1.0,1.4999390385054454e-08
0.00881057268722467,1.0,1.5366687168351554e-08
0.00881704628949302,1.0,1.5468590699120295e-08
0.008823529411764706,1.0,1.5558699230620672e-08
0.008830022075055188,1.0,1.6085357288426692e-08
0.008836524300441826,1.0,1.681364563815429e-08
0.008843036109064112,1.0,1.725908384395541e-08
0.008849557522123894,1.0,1.736999568957913e-08
0.008856088560885609,1.0,1.7487222439041536e-08
0.008862629246676515,1.0,1.7507413351004602e-08
0.008869179600886918,1.0,1.7799399416959212e-08
0.008875739644970414,1.0,1.8151371731902592e-08
0.008882309400444115,1.0,1.845841908405593e-08
0.008888888888888889,1.0,1.8541625223906977e-08
0.008895478131949592,1.0,1.8757272547698784e-08
0.008902077151335312,1.0,1.879402616538174e-08
0.008908685968819599,1.0,1.8812682148685195e-08
0.008915304606240713,1.0,1.882278995094785e-08
0.008921933085501859,1.0,1.9059009076470818e-08
0.008928571428571428,1.0,1.908019033894849e-08
0.008935219657483246,1.0,1.957923000140261e-08
0.00894187779433681,1.0,1.9660701058708747e-08
0.008948545861297539,1.0,1.9826849051749744e-08
0.008955223880597015,1.0,2.006670633985812e-08
0.008961911874533234,1.0,2.0217947869252586e-08
0.008968609865470852,1.0,2.0228749740535443e-08
0.008975317875841436,1.0,2.0403990543311717e-08
0.008982035928143712,1.0,2.0430077329585158e-08
0.008988764044943821,1.0,2.056119831404451e-08
0.008995502248875561,1.0,2.0645076909266663e-08
0.00900225056264066,1.0,2.0738459377013625e-08
0.009009009009009009,1.0,2.0986299823683455e-08
0.009015777610818933,1.0,2.1118619157172568e-08
0.009022556390977444,1.0,2.129437013325156e-08
0.009029345372460496,1.0,2.1427357382403726e-08
0.009036144578313253,1.0,2.1696974041434804e-08
0.00904295403165034,1.0,2.1821080900169223e-08
0.00904977375565611,1.0,2.1901560935268335e-08
0.009056603773584906,1.0,2.196182044440537e-08
0.00906344410876133,1.0,2.2016088208836802e-08
0.009070294784580499,1.0,2.2285263688718537e-08
0.009077155824508321,1.0,2.2381392806201846e-08
0.009084027252081756,1.0,2.247164437992869e-08
0.00909090909090909,1.0,2.2537198670613053e-08
0.009097801364670205,1.0,2.2851972670490316e-08
0.009104704097116844,1.0,2.2867285816120206e-08
