threshold,precision,recall,f1
0.05,0.7058823529411765,1.0,0.8275862068965517
0.1,0.7857142857142857,0.9166666666666666,0.8461538461538461
0.15000000000000002,0.9166666666666666,0.9166666666666666,0.9166666666666666
0.2,1.0,0.9166666666666666,0.9565217391304348
0.25,1.0,0.9166666666666666,0.9565217391304348
0.3,1.0,0.9166666666666666,0.9565217391304348
0.35000000000000003,1.0,0.9166666666666666,0.9565217391304348
0.4,1.0,0.9166666666666666,0.9565217391304348
0.45,1.0,0.9166666666666666,0.9565217391304348
0.5,1.0,0.9166666666666666,0.9565217391304348
0.55,1.0,0.9166666666666666,0.9565217391304348
0.6000000000000001,1.0,0.9166666666666666,0.9565217391304348
0.6500000000000001,1.0,0.9166666666666666,0.9565217391304348
0.7000000000000001,1.0,0.9166666666666666,0.9565217391304348
0.7500000000000001,1.0,0.9166666666666666,0.9565217391304348
0.8,1.0,0.8333333333333334,0.9090909090909091
0.8500000000000001,1.0,0.8333333333333334,0.9090909090909091
0.9000000000000001,1.0,0.8333333333333334,0.9090909090909091
0.9500000000000001,1.0,0.75,0.8571428571428571
