population,lift
0.0007336757153338225,113.58333333333331
1.0007336757153338,0.166544477028348
2.000733675715334,0.12495416208287495
3.000733675715334,0.1110839445802771
4.000733675715334,0.1041475640320313
5.000733675715334,0.09998532863849766
6.000733675715334,0.09721033541182704
7.000733675715334,0.09522811430168378
8.000733675715335,0.08332569157878647
9.000733675715335,0.07406803608303444
10.000733675715335,0.06666177585405814
11.000733675715335,0.06817727090836334
12.000733675715335,0.06944019889547798
13.000733675715335,0.06409894657637322
14.000733675715335,0.059520690317734805
15.000733675715335,0.055552838370993514
16.000733675715335,0.05208094517553915
17.000733675715335,0.04901749237585592
18.000733675715335,0.05092385028191019
19.000733675715335,0.04824375112621309
20.000733675715335,0.04583165205482802
21.000733675715335,0.043649268678964036
22.000733675715335,0.041665277175665004
23.000733675715335,0.03985380116959064
24.000733675715335,0.038193276882788695
25.000733675715335,0.03666559064052901
26.000733675715335,0.035255415408636435
27.000733675715335,0.033949694762965776
28.000733675715335,0.03273723743394908
29.000733675715335,0.03160839573635566
30.000733675715335,0.030554808311527393
31.000733675715335,0.032257301083921046
32.00073367571533,0.031249283536235874
33.00073367571533,0.03030235660293464
34.00073367571533,0.02941113005200354
35.00073367571533,0.028570829665031654
36.00073367571533,0.027777211681509713
37.00073367571533,0.02702649111675127
38.00073367571533,0.026315281397818323
39.00073367571533,0.025640543286052902
40.00073367571533,0.02499954146108839
41.00073367571533,0.024389807458306493
42.00073367571533,0.023809107900850703
43.00073367571533,0.023255417164306433
44.00073367571533,0.022726893768862656
45.00073367571533,0.022221859919133953
46.00073367571533,0.021738783712658895
47.00073367571533,0.021276263619618496
48.00073367571533,0.020833014902560183
49.00073367571533,0.020407857698987845
50.00073367571533,0.019999706534020046
51.00073367571533,0.01960756106683546
52.00073367571533,0.01923049790482103
53.00073367571533,0.01886766334440753
54.00073367571533,0.018518266918467998
55.00073367571533,0.018181575647626926
56.00073367571533,0.017856908907492565
57.00073367571533,0.01754363383617361
58.00073367571533,0.01724116121687433
59.00073367571533,0.016948941779203662
60.00073367571533,0.01666646287034886
61.00073367571533,0.01639324545367074
62.00073367571533,0.016128841397754032
63.00073367571533,0.01587283102364039
64.00073367571534,0.015624820882005662
65.00073367571534,0.015384441735518532
66.00073367571534,0.015151346724618993
67.00073367571534,0.01492520969755371
68.00073367571534,0.014705723687759615
69.00073367571534,0.014492599523647499
70.00073367571534,0.014285564557545774
71.00073367571534,0.014084361502056336
72.00073367571534,0.013888747363379764
73.00073367571534,0.013698492462311557
74.00073367571534,0.013513379534616262
75.00073367571534,0.013333202903370962
76.00073367571534,0.01315776771664945
77.00073367571534,0.012986889244607058
78.00073367571534,0.012820392230635375
79.00073367571534,0.012658110291795909
80.00073367571534,0.012499885364220796
81.00073367571534,0.01234556718959458
82.00073367571534,0.012195012839210142
83.00073367571534,0.012048086272429948
84.00073367571534,0.011904657926685474
85.00073367571534,0.011764604336417621
86.00073367571534,0.011627807778602445
87.00073367571534,0.011494155942723178
88.00073367571534,0.011363541623243986
89.00073367571534,0.011235862432815642
90.00073367571534,0.011111020534600679
91.00073367571534,0.010988922392247287
92.00073367571534,0.010869478536169127
93.00073367571534,0.010752603344903754
94.00073367571534,0.010638214840426777
95.00073367571534,0.010526234496393432
96.00073367571534,0.010416587058364984
97.00073367571534,0.010309200375155054
98.00073367571534,0.010204005240501591
99.00073367571534,0.010100935244334435
100.00073367571534,0.009999926632966743
101.00073367571534,0.009900918177591818
102.00073367571534,0.009803851050515367
103.00073367571534,0.009708668708597478
104.00073367571534,0.009615316783419045
105.00073367571534,0.009523742977724363
106.00073367571534,0.009433896967725413
107.00073367571534,0.00934573031088438
108.00073367571534,0.009259196358819333
109.00073367571534,0.009174250175004037
110.00073367571534,0.009090848456956867
111.00073367571534,0.009008949462635663
112.00073367571534,0.008928512940775726
113.00073367571534,0.008849500064926633
114.00073367571534,0.008771873370960788
115.00073367571534,0.008695596697842369
116.00073367571534,0.008620635131459942
117.00073367571534,0.00854695495133942
118.00073367571534,0.008474523580066527
119.00073367571534,0.008403309535259374
120.00073367571534,0.008333282383942382
121.00073367571534,0.008264412699182653
122.00073367571534,0.00819667201885896
123.00073367571534,0.008130032806441992
124.00073367571534,0.00806446841367232
125.00073367571534,0.007999953045029816
126.00073367571534,0.00793646172389498
127.00073367571534,0.00787397026030895
128.00073367571534,0.007812455220244748
129.00073367571534,0.007751893896307755
130.00073367571534,0.007692264279788477
131.00073367571534,0.007633545033995318
132.00073367571534,0.007575715468799502
133.00073367571534,0.007518755516328332
134.00073367571534,0.007462645707746806
135.00073367571534,0.0074073671510711606
136.00073367571534,0.007352901509961212
137.00073367571534,0.00729923098344151
138.00073367571534,0.0072463382865041595
139.00073367571534,0.007194206631548945
140.00073367571534,0.007142819710618852
141.00073367571534,0.007092161678391541
