fpr,tpr
0.0,0.0
0.0007401924500370096,0.0
0.3286454478164323,0.0
0.3286454478164323,0.08333333333333333
0.5928941524796447,0.08333333333333333
0.5928941524796447,0.16666666666666666
0.6299037749814952,0.16666666666666666
0.6299037749814952,0.25
0.6750555144337528,0.25
0.6750555144337528,0.3333333333333333
0.7616580310880829,0.3333333333333333
0.7616580310880829,0.4166666666666667
0.8778682457438934,0.4166666666666667
0.8778682457438934,0.5
0.9259807549962991,0.5
0.9259807549962991,0.5833333333333334
0.9496669133974833,0.5833333333333334
0.9496669133974833,0.6666666666666666
0.9770540340488527,0.6666666666666666
0.9770540340488527,0.75
0.9888971132494448,0.75
0.9888971132494448,0.8333333333333334
0.993338267949667,0.8333333333333334
0.993338267949667,0.9166666666666666
0.997039230199852,0.9166666666666666
0.997039230199852,1.0
1.0,1.0
