,precision,recall,f1-score,support
0,0.9887640449438202,0.7816432272390822,0.8730880529144275,1351.0
1,0.0,0.0,0.0,12.0
accuracy,0.7747615553925165,0.7747615553925165,0.7747615553925165,0.7747615553925165
macro avg,0.4943820224719101,0.3908216136195411,0.43654402645721374,1363.0
weighted avg,0.980058858928174,0.7747615553925165,0.8654012908931706,1363.0
