,precision,recall,f1-score,support
0,0.9970436067997044,0.9985196150999259,0.9977810650887574,1351.0
1,0.8,0.6666666666666666,0.7272727272727273,12.0
accuracy,0.9955979457079971,0.9955979457079971,0.9955979457079971,0.9955979457079971
macro avg,0.8985218033998522,0.8325931408832963,0.8625268961807424,1363.0
weighted avg,0.9953088134896555,0.9955979457079971,0.9953994803097462,1363.0
