,precision,recall,f1-score,support
0,0.999259807549963,1.0,0.9996297667530544,1350.0
1,1.0,0.9166666666666666,0.9565217391304348,12.0
accuracy,0.9992657856093979,0.9992657856093979,0.9992657856093979,0.9992657856093979
macro avg,0.9996299037749815,0.9583333333333333,0.9780757529417445,1362.0
weighted avg,0.9992663290693466,0.9992657856093979,0.9992499603422824,1362.0
